1,
18:47, 01:01:02,sermon-sinhala-6519-2017-09-16-seruwapita-smsnsrathana-thero-mahuluduwa-480p.mp4
19:48,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
19:49,00:00:41,fillers-teasers-trailer-place-41-480p.mp4
19:49,00:11:29,dhammapada-sinhala-4435-daswatte-sumanaseela-thera-480p.mp4
20:01, 00:08:08,fillers-teasers-ruhunu-rata-480p.mp4
20:09,00:08:38,dhammapada-sinhala-1009-3-kotagoda-sudeera-thera.dv-480p.mp4
20:17, 00:54:03,sermon-sinhala-6459-2017-08-04-warakapalahana-sugathagana-thero-kotte-480p.mp4
21:12,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
21:12,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
21:13, 00:04:56,fillers-wesak-nilagiri-01-480p.mp4
21:18, 01:32:10,bhavana-english-6399-2017-07-22-dhiravamso-thero-480p.mp4
22:51,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
22:51,00:23:15,dhammapada-sinhala-4247-02-kihibiye-vijitha-thera-480p.mp4
23:14,00:03:44,fillers-wesak-wesak-2012-07-03-44-480p.mp4
23:18, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
00:17,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
00:17,00:01:08,fillers-teasers-trailer-nawam-perahara-22-1-08-480p.mp4
00:18, 00:59:35,sermon-sinhala-6396-mirahawatthe-panyasara-thero-ganaramaya-480p.mp4
01:18,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
01:18,00:00:35,fillers-teasers-trailer-35-480p.mp4
01:19,00:25:00,dhammapada-sinhala-4416-02-kihibiye-vijitha-thera-480p.mp4
01:44,00:04:00,dhammapada-english-1041-4-dhammavihari-thera-480p.mp4
01:48, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
02:46,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
02:47,00:00:52,fillers-teasers-trailer-nawam-perahara-06-0-52-480p.mp4
02:48,00:30:44,dhammapada-sinhala-4417-01-kihibiye-vijitha-thera-480p.mp4
03:18, 01:02:03,sermon-sinhala-6351-kotiyagala-siwali-thero-ganagaramaya-480p.mp4
04:20,00:00:31,fillers-inspiration-ins-sin-07-480p.mp4
04:21,00:00:58,fillers-teasers-trailer-nawam-perahara-11-0-58-480p.mp4
04:22,00:25:02,dhammapada-sinhala-4239-02-kihibiye-vijitha-thera-480p.mp4
04:47,00:01:11,fillers-teasers-trailer-nawam-perahara-15-1-11-480p.mp4
04:48, 00:59:59,sermon-sinhala-6475-2017-10-10-vathurawila-sujatha-thero-nawala-480p.mp4
05:48,00:00:31,fillers-inspiration-ins-sin-03-480p.mp4
05:49, 00:16:15,sermon-english-2017-ven-ajahn-brahmavanso-interviews-480p.mp4
06:05,00:03:42,fillers-wesak-wesak-2012-11-03-42-480p.mp4
06:09, 00:10:00,fillers-teasers-gal-viharaya-480p.mp4
06:19, 01:00:34,sermon-sinhala-6384-2017-06-16-waleboda-gunasiri-thero-dematagoda-480p.mp4
07:19,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
07:20,00:00:51,fillers-teasers-trailer-51-480p.mp4
07:21,00:20:12,bhavana-sinhala-966-kolonnawe-seewali-thera.dv-480p.mp4
07:41,00:07:42,dhammapada-english-1185-2-7-42-dhammavihari-thera-480p.mp4
07:48, 00:56:44,sermon-sinhala-6378-2017-06-10-galagedara-amararathana-thero-gngaramaya-480p.mp4
08:45,00:00:31,fillers-inspiration-ins-eng-15-480p.mp4
08:46,00:02:37,dhammapada-english-1460-6-02-37-dhammavihari-thera-480p.mp4
08:48, 01:04:40,sermon-sinhala-6496-2017-10-01-pitigala-vijitha-thero-nawala-480p.mp4
09:53,00:00:31,fillers-inspiration-ins-sin-19-480p.mp4
09:53,00:15:51,sermon-sinhala-640-2-kotmale-ganawansa-thera-480p.mp4
2,
06:00,01:12:47,sutta-satipattana-480p.mp4
07:12,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
07:13, 00:45:58,sutta-pirith-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-sin-19-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-eng-16-480p.mp4
08:00, 01:07:13,sermon-sinhala-6511-2017-10-15-gallalegama-dhammaseeha-thero-nawala-480p.mp4
09:07,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
09:08,00:00:29,fillers-teasers-trailer-29-480p.mp4
09:08, 00:15:39,fillers-teasers-dematamal-viharaya-480p.mp4
09:24,00:06:36,dhammapada-english-1399-1-06-36-dhammavihari-thera-480p.mp4
09:30, 01:13:22,sermon-sinhala-6461-2017-08-07-gampaha-mahanama-thero-madagama-480p.mp4
10:44,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
10:44,00:05:21,fillers-teasers-trailer-manel-watta-5-21-480p.mp4
10:50,00:10:56,dhammapada-sinhala-1009-4-kotagoda-sudeera-thera.dv-480p.mp4
11:00, 00:37:17,sermon-sinhala-6516-2017-10-20-alubomulle-dhammalankara-thero-nawala-480p.mp4
11:38,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
11:38,00:22:16,dhammapada-sinhala-4226-02-kihibiye-vijitha-thera-480p.mp4
12:01, 01:02:58,sermon-sinhala-6476-2017-09-11-mirisse-dhammika-thero-nawala-480p.mp4
13:03,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
13:04,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
13:05,00:21:09,sermon-sinhala-4289-01-gampaha-pasadka-thera-480p.mp4
13:27,00:21:09,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
13:48, 00:51:13,sermon-sinhala-6379-2017-06-20-balangoda-sobitha-thero-dematagoda-480p.mp4
14:39,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
14:39,00:02:10,fillers-teasers-trailer-nawam-perahara-10-2-10-480p.mp4
14:42,00:03:49,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
14:45, 00:02:10,fillers-wesak-nelagiri-thawawa-2017-480p.mp4
14:48, 00:57:41,sermon-sinhala-6479-2017-09-14-agalakada-sirisumana-thero-nawala-480p.mp4
15:45,00:00:31,fillers-inspiration-ins-eng-03-480p.mp4
15:46,00:01:33,fillers-teasers-trailer-paragoda-1-33-480p.mp4
15:47, 01:02:18,sermon-sinhala-6517-2017-10-21-kothmale-dinnaga-thero-nawala-480p.mp4
16:50,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
16:50,00:02:33,fillers-teasers-wesak-2012-03-02-33-480p.mp4
16:53,00:00:36,fillers-teasers-trailer-36-480p.mp4
16:53,01:16:22,bhavana-sinhala-1212-kiribathgoda-ganananda-thera-480p.mp4
18:10,00:06:54,dhammapada-english-1399-4-06-54-dhammavihari-thera-480p.mp4
18:17, 00:48:38,sermon-sinhala-6493-2017-09-28-galigamuwe-gnanadeepa-thero-nawala-480p.mp4
19:05,00:10:29,dhammapada-sinhala-1056-1-kotagoda-sudeera-thera-480p.mp4
19:16,00:01:04,fillers-teasers-trailer-nawam-perahara-21-1-04-480p.mp4
19:17, 00:49:46,sermon-sinhala-6499-2017-10-04-alikewala-seelananda-thero-nawala-480p.mp4
20:07,00:00:31,fillers-inspiration-ins-eng-09-480p.mp4
20:07, 00:10:25,fillers-teasers-magul-maha-vihara-muhudu-maha-vihara-sinhala-480p.mp4
20:17, 01:01:02,sermon-sinhala-6519-2017-09-16-seruwapita-smsnsrathana-thero-mahuluduwa-480p.mp4
21:19,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
21:19,00:00:41,fillers-teasers-trailer-place-41-480p.mp4
21:20,00:11:29,dhammapada-sinhala-4435-daswatte-sumanaseela-thera-480p.mp4
21:31, 00:08:08,fillers-teasers-ruhunu-rata-480p.mp4
21:39,00:08:38,dhammapada-sinhala-1009-3-kotagoda-sudeera-thera.dv-480p.mp4
21:48, 00:54:03,sermon-sinhala-6459-2017-08-04-warakapalahana-sugathagana-thero-kotte-480p.mp4
22:42,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
22:43,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
22:44, 00:04:56,fillers-wesak-nilagiri-01-480p.mp4
22:49, 01:32:10,bhavana-english-6399-2017-07-22-dhiravamso-thero-480p.mp4
00:21,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
00:22,00:23:15,dhammapada-sinhala-4247-02-kihibiye-vijitha-thera-480p.mp4
00:45,00:03:44,fillers-wesak-wesak-2012-07-03-44-480p.mp4
00:49, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
01:47,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
01:48,00:01:08,fillers-teasers-trailer-nawam-perahara-22-1-08-480p.mp4
01:49, 00:59:35,sermon-sinhala-6396-mirahawatthe-panyasara-thero-ganaramaya-480p.mp4
02:48,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
02:49,00:00:35,fillers-teasers-trailer-35-480p.mp4
02:49,00:25:00,dhammapada-sinhala-4416-02-kihibiye-vijitha-thera-480p.mp4
03:14,00:04:00,dhammapada-english-1041-4-dhammavihari-thera-480p.mp4
03:18, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
04:17,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
04:17,00:00:52,fillers-teasers-trailer-nawam-perahara-06-0-52-480p.mp4
04:18,00:30:44,dhammapada-sinhala-4417-01-kihibiye-vijitha-thera-480p.mp4
04:49, 01:02:03,sermon-sinhala-6351-kotiyagala-siwali-thero-ganagaramaya-480p.mp4
05:51,00:00:31,fillers-inspiration-ins-sin-07-480p.mp4
05:51,00:00:58,fillers-teasers-trailer-nawam-perahara-11-0-58-480p.mp4
05:52,00:25:02,dhammapada-sinhala-4239-02-kihibiye-vijitha-thera-480p.mp4
06:17,00:01:11,fillers-teasers-trailer-nawam-perahara-15-1-11-480p.mp4
06:19, 00:59:59,sermon-sinhala-6475-2017-10-10-vathurawila-sujatha-thero-nawala-480p.mp4
07:19,00:00:31,fillers-inspiration-ins-sin-03-480p.mp4
07:19, 00:16:15,sermon-english-2017-ven-ajahn-brahmavanso-interviews-480p.mp4
07:35,00:03:42,fillers-wesak-wesak-2012-11-03-42-480p.mp4
07:39, 00:10:00,fillers-teasers-gal-viharaya-480p.mp4
07:49, 01:00:34,sermon-sinhala-6384-2017-06-16-waleboda-gunasiri-thero-dematagoda-480p.mp4
08:50,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
08:50,00:00:51,fillers-teasers-trailer-51-480p.mp4
08:51,00:20:12,bhavana-sinhala-966-kolonnawe-seewali-thera.dv-480p.mp4
09:11,00:07:42,dhammapada-english-1185-2-7-42-dhammavihari-thera-480p.mp4
09:19, 00:56:44,sermon-sinhala-6378-2017-06-10-galagedara-amararathana-thero-gngaramaya-480p.mp4
3,
06:00,01:12:47,sutta-satipattana-480p.mp4
07:12,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
07:13, 00:45:58,sutta-pirith-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-sin-19-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-eng-16-480p.mp4
08:00, 00:47:21,sermon-sinhala-6321-2017-05-23-galkissa-somananda-thero-480p.mp4
08:47,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
08:48,00:11:24,dhammapada-english-1185-6-11-24-dhammavihari-thera-480p.mp4
08:59,00:00:47,fillers-teasers-trailer-nawam-perahara-17-0-47-480p.mp4
09:00, 00:51:11,sermon-sinhala-6306-warakapalahana-sugathagana-thero-maharagama-480p.mp4
09:51,00:00:31,fillers-inspiration-ins-eng-04-480p.mp4
09:52,00:08:29,dhammapada-sinhala-1009-2-kotagoda-sudeera-thera.dv-480p.mp4
10:00, 01:07:13,sermon-sinhala-6511-2017-10-15-gallalegama-dhammaseeha-thero-nawala-480p.mp4
11:07,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
11:08,00:00:29,fillers-teasers-trailer-29-480p.mp4
11:08, 00:15:39,fillers-teasers-dematamal-viharaya-480p.mp4
11:24,00:06:36,dhammapada-english-1399-1-06-36-dhammavihari-thera-480p.mp4
11:31, 01:13:22,sermon-sinhala-6461-2017-08-07-gampaha-mahanama-thero-madagama-480p.mp4
12:44,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
12:44,00:05:21,fillers-teasers-trailer-manel-watta-5-21-480p.mp4
12:50,00:10:56,dhammapada-sinhala-1009-4-kotagoda-sudeera-thera.dv-480p.mp4
13:01, 00:37:17,sermon-sinhala-6516-2017-10-20-alubomulle-dhammalankara-thero-nawala-480p.mp4
13:38,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
13:38,00:22:16,dhammapada-sinhala-4226-02-kihibiye-vijitha-thera-480p.mp4
14:01, 01:02:58,sermon-sinhala-6476-2017-09-11-mirisse-dhammika-thero-nawala-480p.mp4
15:04,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
15:04,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
15:06,00:21:09,sermon-sinhala-4289-01-gampaha-pasadka-thera-480p.mp4
15:27,00:21:09,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
15:48, 00:51:13,sermon-sinhala-6379-2017-06-20-balangoda-sobitha-thero-dematagoda-480p.mp4
16:39,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
16:40,00:02:10,fillers-teasers-trailer-nawam-perahara-10-2-10-480p.mp4
16:42,00:03:49,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
16:46, 00:02:10,fillers-wesak-nelagiri-thawawa-2017-480p.mp4
16:48, 00:57:41,sermon-sinhala-6479-2017-09-14-agalakada-sirisumana-thero-nawala-480p.mp4
17:46,00:00:31,fillers-inspiration-ins-eng-03-480p.mp4
17:46,00:01:33,fillers-teasers-trailer-paragoda-1-33-480p.mp4
17:48, 01:02:18,sermon-sinhala-6517-2017-10-21-kothmale-dinnaga-thero-nawala-480p.mp4
18:50,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
18:50,00:02:33,fillers-teasers-wesak-2012-03-02-33-480p.mp4
18:53,00:00:36,fillers-teasers-trailer-36-480p.mp4
18:54,01:16:22,bhavana-sinhala-1212-kiribathgoda-ganananda-thera-480p.mp4
20:10,00:06:54,dhammapada-english-1399-4-06-54-dhammavihari-thera-480p.mp4
20:17, 00:48:38,sermon-sinhala-6493-2017-09-28-galigamuwe-gnanadeepa-thero-nawala-480p.mp4
21:05,00:10:29,dhammapada-sinhala-1056-1-kotagoda-sudeera-thera-480p.mp4
21:16,00:01:04,fillers-teasers-trailer-nawam-perahara-21-1-04-480p.mp4
21:17, 00:49:46,sermon-sinhala-6499-2017-10-04-alikewala-seelananda-thero-nawala-480p.mp4
22:07,00:00:31,fillers-inspiration-ins-eng-09-480p.mp4
22:07, 00:10:25,fillers-teasers-magul-maha-vihara-muhudu-maha-vihara-sinhala-480p.mp4
22:18, 01:01:02,sermon-sinhala-6519-2017-09-16-seruwapita-smsnsrathana-thero-mahuluduwa-480p.mp4
23:19,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
23:19,00:00:41,fillers-teasers-trailer-place-41-480p.mp4
23:20,00:11:29,dhammapada-sinhala-4435-daswatte-sumanaseela-thera-480p.mp4
23:31, 00:08:08,fillers-teasers-ruhunu-rata-480p.mp4
23:40,00:08:38,dhammapada-sinhala-1009-3-kotagoda-sudeera-thera.dv-480p.mp4
23:48, 00:54:03,sermon-sinhala-6459-2017-08-04-warakapalahana-sugathagana-thero-kotte-480p.mp4
00:42,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
00:43,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
00:44, 00:04:56,fillers-wesak-nilagiri-01-480p.mp4
00:49, 01:32:10,bhavana-english-6399-2017-07-22-dhiravamso-thero-480p.mp4
02:21,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
02:22,00:23:15,dhammapada-sinhala-4247-02-kihibiye-vijitha-thera-480p.mp4
02:45,00:03:44,fillers-wesak-wesak-2012-07-03-44-480p.mp4
02:49, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
03:47,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
03:48,00:01:08,fillers-teasers-trailer-nawam-perahara-22-1-08-480p.mp4
03:49, 00:59:35,sermon-sinhala-6396-mirahawatthe-panyasara-thero-ganaramaya-480p.mp4
04:48,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
04:49,00:00:35,fillers-teasers-trailer-35-480p.mp4
04:50,00:25:00,dhammapada-sinhala-4416-02-kihibiye-vijitha-thera-480p.mp4
05:15,00:04:00,dhammapada-english-1041-4-dhammavihari-thera-480p.mp4
05:19, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
06:17,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
06:18,00:00:52,fillers-teasers-trailer-nawam-perahara-06-0-52-480p.mp4
06:18,00:30:44,dhammapada-sinhala-4417-01-kihibiye-vijitha-thera-480p.mp4
06:49, 01:02:03,sermon-sinhala-6351-kotiyagala-siwali-thero-ganagaramaya-480p.mp4
07:51,00:00:31,fillers-inspiration-ins-sin-07-480p.mp4
07:52,00:00:58,fillers-teasers-trailer-nawam-perahara-11-0-58-480p.mp4
07:53,00:25:02,dhammapada-sinhala-4239-02-kihibiye-vijitha-thera-480p.mp4
08:18,00:01:11,fillers-teasers-trailer-nawam-perahara-15-1-11-480p.mp4
08:19, 00:59:59,sermon-sinhala-6475-2017-10-10-vathurawila-sujatha-thero-nawala-480p.mp4
09:19,00:00:31,fillers-inspiration-ins-sin-03-480p.mp4
09:19, 00:16:15,sermon-english-2017-ven-ajahn-brahmavanso-interviews-480p.mp4
09:36,00:03:42,fillers-wesak-wesak-2012-11-03-42-480p.mp4
09:39, 00:10:00,fillers-teasers-gal-viharaya-480p.mp4
09:49,00:10:00,dhammapada-sinhala-1037-1-kotagoda-sudeera-thera-480p.mp4
4,
06:00,01:12:47,sutta-satipattana-480p.mp4
07:12,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
07:13, 00:45:58,sutta-pirith-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-sin-19-480p.mp4
07:59,00:00:31,fillers-inspiration-ins-eng-16-480p.mp4
08:00, 00:52:46,sermon-sinhala-6470-namalgamuwe-vijayasila-thero-gnanaramaya-480p.mp4
08:53,00:00:31,fillers-inspiration-ins-sin-03-480p.mp4
08:53,00:01:27,fillers-teasers-trailer-manel-watta-1-27-480p.mp4
08:55,00:05:18,dhammapada-english-1500-3-05-18-dhammavihari-thera-480p.mp4
09:00, 01:14:02,sermon-sinhala-6354-2017-05-25-warakapalahana-sugathagana-thero-parakumba-480p.mp4
10:14,00:00:31,fillers-inspiration-ins-eng-02-480p.mp4
10:14,00:14:52,sermon-sinhala-4528-makulawe-sudassana-thera-480p.mp4
10:29,00:01:01,fillers-teasers-trailer-nawam-perahara-14-1-01-480p.mp4
10:30, 00:47:21,sermon-sinhala-6321-2017-05-23-galkissa-somananda-thero-480p.mp4
11:18,00:00:31,fillers-inspiration-ins-sin-18-480p.mp4
11:18,00:11:24,dhammapada-english-1185-6-11-24-dhammavihari-thera-480p.mp4
11:30,00:00:47,fillers-teasers-trailer-nawam-perahara-17-0-47-480p.mp4
11:30, 00:51:11,sermon-sinhala-6306-warakapalahana-sugathagana-thero-maharagama-480p.mp4
12:22,00:00:31,fillers-inspiration-ins-eng-04-480p.mp4
12:22,00:08:29,dhammapada-sinhala-1009-2-kotagoda-sudeera-thera.dv-480p.mp4
12:31, 01:07:13,sermon-sinhala-6511-2017-10-15-gallalegama-dhammaseeha-thero-nawala-480p.mp4
13:38,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
13:38,00:00:29,fillers-teasers-trailer-29-480p.mp4
13:39, 00:15:39,fillers-teasers-dematamal-viharaya-480p.mp4
13:54,00:06:36,dhammapada-english-1399-1-06-36-dhammavihari-thera-480p.mp4
14:01, 01:13:22,sermon-sinhala-6461-2017-08-07-gampaha-mahanama-thero-madagama-480p.mp4
15:14,00:00:31,fillers-inspiration-ins-sin-12-480p.mp4
15:15,00:05:21,fillers-teasers-trailer-manel-watta-5-21-480p.mp4
15:20,00:10:56,dhammapada-sinhala-1009-4-kotagoda-sudeera-thera.dv-480p.mp4
15:31, 00:37:17,sermon-sinhala-6516-2017-10-20-alubomulle-dhammalankara-thero-nawala-480p.mp4
16:08,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
16:09,00:22:16,dhammapada-sinhala-4226-02-kihibiye-vijitha-thera-480p.mp4
16:31, 01:02:58,sermon-sinhala-6476-2017-09-11-mirisse-dhammika-thero-nawala-480p.mp4
17:34,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
17:35,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
17:36,00:21:09,sermon-sinhala-4289-01-gampaha-pasadka-thera-480p.mp4
17:57,00:21:09,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
18:18, 00:51:13,sermon-sinhala-6379-2017-06-20-balangoda-sobitha-thero-dematagoda-480p.mp4
19:10,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
19:10,00:02:10,fillers-teasers-trailer-nawam-perahara-10-2-10-480p.mp4
19:12,00:03:49,dhammapada-english-1259-5-3-49-dhammavihari-thera-480p.mp4
19:16, 00:02:10,fillers-wesak-nelagiri-thawawa-2017-480p.mp4
19:18, 00:57:41,sermon-sinhala-6479-2017-09-14-agalakada-sirisumana-thero-nawala-480p.mp4
20:16,00:00:31,fillers-inspiration-ins-eng-03-480p.mp4
20:17,00:01:33,fillers-teasers-trailer-paragoda-1-33-480p.mp4
20:18, 01:02:18,sermon-sinhala-6517-2017-10-21-kothmale-dinnaga-thero-nawala-480p.mp4
21:20,00:00:31,fillers-inspiration-ins-sin-14-480p.mp4
21:21,00:02:33,fillers-teasers-wesak-2012-03-02-33-480p.mp4
21:23,00:00:36,fillers-teasers-trailer-36-480p.mp4
21:24,01:16:22,bhavana-sinhala-1212-kiribathgoda-ganananda-thera-480p.mp4
22:40,00:06:54,dhammapada-english-1399-4-06-54-dhammavihari-thera-480p.mp4
22:47, 00:48:38,sermon-sinhala-6493-2017-09-28-galigamuwe-gnanadeepa-thero-nawala-480p.mp4
23:36,00:10:29,dhammapada-sinhala-1056-1-kotagoda-sudeera-thera-480p.mp4
23:46,00:01:04,fillers-teasers-trailer-nawam-perahara-21-1-04-480p.mp4
23:47, 00:49:46,sermon-sinhala-6499-2017-10-04-alikewala-seelananda-thero-nawala-480p.mp4
00:37,00:00:31,fillers-inspiration-ins-eng-09-480p.mp4
00:38, 00:10:25,fillers-teasers-magul-maha-vihara-muhudu-maha-vihara-sinhala-480p.mp4
00:48, 01:01:02,sermon-sinhala-6519-2017-09-16-seruwapita-smsnsrathana-thero-mahuluduwa-480p.mp4
01:49,00:00:31,fillers-inspiration-ins-sin-15-480p.mp4
01:50,00:00:41,fillers-teasers-trailer-place-41-480p.mp4
01:50,00:11:29,dhammapada-sinhala-4435-daswatte-sumanaseela-thera-480p.mp4
02:02, 00:08:08,fillers-teasers-ruhunu-rata-480p.mp4
02:10,00:08:38,dhammapada-sinhala-1009-3-kotagoda-sudeera-thera.dv-480p.mp4
02:19, 00:54:03,sermon-sinhala-6459-2017-08-04-warakapalahana-sugathagana-thero-kotte-480p.mp4
03:13,00:00:31,fillers-inspiration-ins-sin-05-480p.mp4
03:13,00:01:26,fillers-teasers-trailer-nawam-perahara-01-1-26-480p.mp4
03:15, 00:04:56,fillers-wesak-nilagiri-01-480p.mp4
03:20, 01:32:10,bhavana-english-6399-2017-07-22-dhiravamso-thero-480p.mp4
04:52,00:00:31,fillers-inspiration-ins-eng-05-480p.mp4
04:52,00:23:15,dhammapada-sinhala-4247-02-kihibiye-vijitha-thera-480p.mp4
05:16,00:03:44,fillers-wesak-wesak-2012-07-03-44-480p.mp4
05:19, 00:58:26,sermon-sinhala-6489-2017-09-24-nindane-chandavimala-thero-nawala-480p.mp4
06:18,00:00:31,fillers-inspiration-ins-sin-13-480p.mp4
06:18,00:01:08,fillers-teasers-trailer-nawam-perahara-22-1-08-480p.mp4
